凹	od
鬼	rlk
鬼	rll
炅	rmm
盥	rod
皈	rql
睾	rum
晷	rwi
轧	scc
姑	sfi
轱	sfi
媾	sgo
戈	skk
妫	smk
匮	soo
姤	sqi
辊	srs
匦	ssw
轨	sww
簋	tbo
罐	tei
缸	tfd
牯	tfi
筻	tfk
秆	tgi
竿	tgi
篝	tgo
稿	thi
篙	thi
篙	tho
告	tii
搿	tjk
箍	tks
管	tnd
筦	tng
管	tno
簋	tod
牿	tti
筶	tti
刮	tuu
筀	tuu
郜	tvv
鹄	twd
鸹	twd
笱	twi
乖	tyw
塥	udi
坩	ufd
埂	ufk
鼓	ufl
赶	ugi
垓	uhj
垓	uhk
埚	uio
卦	ujj
垙	ujw
堌	uof
堽	uof
垢	uqi
坬	uqk
圪	utc
圭	uuu
邽	uvv
彀	uwl
毂	uwl
鿍	uws
肱	val
隔	vdi
膈	vdi
肛	vfd
肝	vgi
陔	vhk
胱	vjw
孤	vqk
胍	vqk
臌	vuf
胳	vwi
股	vwl
鳡	wal
鳜	wam
鲧	wex
鲠	wfk
犷	whe
各	wii
句	wii
雊	wjh
觥	wjw
勾	wll
逛	wnn
馆	wno
龟	woc
鲴	wof
猓	wok
鳏	wop
馉	wov
觚	wqk
旮	wrr
鳤	wtn
鲑	wuu
狗	wwi
鲧	wwp
够	www
毌	xdd
红	xfd
绀	xfd
绠	xfk
缟	xhi
缟	xho
缑	xjb
给	xji
纶	xjw
贯	xoj
贯	xok
纲	xom
绲	xrs
纥	xtc
钆	ycc
镉	ydi
钙	yfc
钴	yfi
镐	yhi
镐	yho
锅	yio
锢	yof
钢	yom
锆	yti
铬	ywi
钩	ywl
哿	zfi
尕	zpk
戤	zsk
硔	afm
磺	afo
翃	all
灰	amm
夯	ann
还	ann
虺	aok
瓠	aqk
厚	arv
夯	azz
憨	blk
弘	bll
弧	bqk
桓	cdr
橞	cfl
横	cfo
核	chj
核	chk
杭	chw
桦	cjf
桧	cjg
桁	ckg
槐	crk
槲	cwn
泓	dbl
洹	ddr
濩	dej
河	dfi
瀚	dfj
洪	dfm
潢	dfo
湖	dfv
鸿	dfw
汗	dgi
濠	dhi
沆	dhw
淮	djh
浛	dji
洸	djw
沪	dle
汉	dll
翮	dll
浑	dls
浒	dlt
浣	dng
溷	doa
涸	dof
洄	doi
漶	dol
溃	doo
画	dov
滑	dov
灏	dra
湟	drg
淏	drg
滉	drj
混	drs
汇	dss
活	dti
浩	dti
海	dtx
涵	dvv
鸿	dwd
浲	dwg
淴	dwl
涣	dwo
滹	dym
薨	eaw
菏	edf
荁	edr
蕻	eff
蕙	efl
葫	efv
蒿	ehi
藿	ehj
蒿	eho
荒	ehr
荷	ejf
荟	ejg
萑	ejh
花	ejw
蘅	ekw
荤	els
蔊	emr
薨	eoa
茴	eoi
薅	esa
荤	esi
劐	euu
菡	evv
获	ewa
荭	exf
卉	fai
醢	fao
巷	fbc
酣	ffd
醐	ffv
韩	fgi
翰	fjl
黄	fkk
惠	flk
鬟	fod
黄	fom
邯	fvv
胡	fvv
鹕	fvw
砉	gai
顸	gaj
环	gak
彗	gbd
慧	gbl
玒	gfd
璜	gfo
瑚	gfv
耠	gji
琀	gji
珩	gkg
慧	glk
珲	gls
瑝	grg
魂	grk
魂	grl
耗	gtc
邗	gvv
琥	gyc
颃	haj
豪	hak
竑	hal
痕	hbk
颃	hee
癀	hfo
亨	hiv
瘊	hjb
霍	hjh
亥	hjj
亥	hkk
劾	hnn
冱	hsd
毫	htc
麾	htc
亨	hvv
肓	hvv
鄠	hvv
痪	hwo
劾	hzz
喊	iad
咴	iam
嗨	idt
嚆	ieh
嗬	iej
嚄	iej
咁	ifd
呵	ifi
吓	ifk
哄	ifm
唝	ifo
嚎	iha
嚯	ihj
咳	ihj
咳	ihk
哼	ihv
吭	ihw
喉	ijb
㘎	ijb
哗	ijf
哈	iji
呼	imi
踝	iok
嘿	iom
哕	iow
嗥	ira
喤	irg
喝	irw
号	iss
吽	iti
吼	ivc
唿	iwl
唤	iwo
喙	ixa
唬	iyc
颌	jaj
颔	jaj
闳	jal
候	jbt
侯	jbt
阚	jbt
华	jff
何	jfi
会	jgl
阂	jhj
阂	jhk
合	jii
含	jii
辉	jls
伙	jmm
盒	jod
货	joj
货	jok
佸	jti
龢	jtk
阖	juo
郃	jvv
阍	jwr
化	jww
撼	kal
很	kbk
撖	kbt
行	kgi
扞	kgi
攉	khj
护	kle
挥	kls
擐	kod
徊	koi
徽	kot
捍	krg
徨	krg
衡	kwg
换	kwo
後	kxw
诙	lam
户	lee
谎	leh
讧	lfd
诃	lfi
祜	lfi
罕	lgi
讳	lgi
翯	lhi
祸	lio
扈	liv
诨	lls
戽	lnf
戽	lni
褐	lrw
话	lti
诲	ltx
鹤	lwd
欢	lwj
欢	lwk
豢	mak
烠	mav
貆	mdr
烘	mfm
谼	mfm
糊	mfv
煳	mfv
㸌	mhj
乎	mii
糇	mjb
烩	mjg
焓	mji
烀	mmi
火	mmm
焊	mrg
煌	mrg
貉	mwi
焕	mwo
怀	nak
宏	nal
憾	nal
恢	nam
恨	nbk
恒	ndr
慌	neh
宦	nfc
怙	nfi
黉	nfo
害	ngi
恍	njw
豁	nmi
寒	nnn
逭	nnn
寰	nod
贺	noj
贺	nok
悍	nrg
惶	nrg
悔	ntx
鲎	nwd
惚	nwl
鲎	nwo
嵅	oad
贿	oav
峘	odr
蠖	oej
虹	ofd
蚶	ofd
岵	ofi
蚵	ofi
虾	ofk
蟪	ofl
蟥	ofo
蝴	ofv
虷	ogi
骸	ohj
骸	ohk
回	oii
蛤	oji
患	olk
翙	oll
黑	omm
圜	ood
蛔	ooi
骺	oqi
蝗	org
幌	orj
蚝	otc
崡	ovv
鹘	owd
鹮	owd
囫	owe
夥	oww
航	qhw
后	qii
逅	qnn
艎	qrg
垕	quu
郈	qvv
颢	raj
暵	rfo
皇	rgd
旱	rgi
鼾	rgi
昊	rgk
皜	rhi
晗	rji
晃	rjw
皝	rjw
㿠	rjw
昈	rle
晖	rls
㬊	rmg
遑	rnn
皞	rra
皡	rrh
皓	rtt
晦	rtx
曷	rwc
鹖	rwd
昒	rwe
齁	rwi
昫	rwi
毁	rwl
互	sdd
婳	sdo
或	sii
惑	slk
轰	sll
轷	smi
嬛	sod
媓	srg
划	suu
好	svd
婚	swr
嫭	sym
簧	tfo
氦	thj
氦	thk
和	tii
篌	tjb
禾	tkk
秽	tow
篁	trg
鹄	twd
笏	twe
坏	uak
壕	uha
堠	ujb
恚	ulk
壶	ulu
盍	uod
垾	urg
壶	uud
赫	uum
赫	uur
堼	uuu
郝	uvv
垎	uwi
觳	uwl
孩	vhj
胲	vhj
孩	vhk
胲	vhk
隳	vjk
腘	vog
隍	vrg
函	vvv
狠	wbk
獾	wei
鹱	wej
鳠	wej
猢	wfv
犴	wgi
訇	whi
猴	wjt
忽	wlk
斛	wnf
鲩	wng
斛	wni
奂	wok
猾	wov
鲘	wqi
狐	wqk
凰	wrg
鳇	wrg
昏	wrr
馄	wrs
郇	wvv
纮	xal
幻	xcc
红	xfd
骇	xhj
骇	xhk
骅	xjf
绘	xjg
绗	xkg
缓	xmg
缳	xod
缋	xoo
纥	xtc
虎	ycc
镬	yej
镐	yhi
镐	yho
铧	yjf
铪	yji
锾	ymg
钬	ymm
锽	yrg
龁	ytc
壑	yuu
锪	ywl
虎	yww
贺	zoj
贺	zok
䃎	aaw
臧	afc
左	afd
殖	afo
砖	agk
殝	agt
碡	agx
砫	ahd
詟	ahi
仄	ajj
丈	akk
逐	ann
砠	aod
斫	aqi
砸	aso
砟	atd
硃	atk
在	auu
磔	awc
奓	aww
砧	ayi
展	bfk
咫	bim
帚	blo
粥	bmb
帚	boi
昼	brd
晝	brd
属	brk
张	btk
柘	cai
杖	cak
椓	cak
札	ccc
楂	ccr
栉	cev
椹	cfc
枝	cfl
椹	cfm
植	cfo
榰	cfr
栈	cgk
榛	cgt
柱	chd
梓	chf
樟	chr
桩	chu
枳	cim
柷	ciw
椎	cjh
枞	cjj
槜	cjn
槜	cjz
术	ckk
枕	clc
槠	clf
杼	cli
杼	clv
樽	cmf
棕	cng
榨	cnt
栀	cqx
查	crd
桎	csu
柞	ctd
株	ctk
栴	ctw
梽	cul
栅	cwd
柊	cwn
椆	cwu
棹	cyf
桢	cyo
棹	cyr
涿	dak
涨	dbt
渣	dcr
湛	dfc
汁	dff
洓	dfk
湛	dfm
滞	dfo
渚	dfr
渍	dgo
溱	dgt
注	dhd
淬	dhj
漳	dhr
澡	dic
浞	diy
浙	dkq
泽	dlg
治	dli
濯	dlj
溠	dmf
洲	dmi
鬷	dmm
滋	dmx
滓	dnh
沼	dni
浊	dok
漴	don
滍	doo
沌	dsc
洙	dtk
潴	dwf
汋	dwk
泜	dwk
淄	dxo
淖	dyf
沾	dyi
浈	dyo
淖	dyr
泚	dyw
沼	dzi
葬	eaa
葴	ead
藏	eaf
藻	edi
菹	edo
茝	efc
蘸	efj
著	efr
蓁	egt
蔗	ehm
茽	ejo
萚	ekl
芝	elk
苎	end
蕞	erf
茱	etk
茁	evi
蒸	evm
茋	ewk
荮	exf
芷	eyd
䓬	eyf
䓬	eyr
茈	eyw
栽	fcc
正	fdd
再	fdd
整	ffd
酎	ffk
鬒	ffm
赜	fgo
醉	fhj
哉	fii
职	fim
髽	fju
支	fll
翥	fll
煮	fmm
真	fmm
斟	fnf
鬃	fng
斟	fni
遭	fnn
枣	fnn
鼒	fob
直	fod
疐	fov
者	frr
载	fsd
甄	fsk
酢	ftd
政	ftk
疐	fvk
朝	fvv
鄹	fvv
鄑	fvv
酌	fwk
酯	fwr
髭	fyw
琢	gak
瑱	gfm
奏	ggk
瑧	ggt
璋	ghr
珍	gjq
专	gkk
盏	god
珇	god
责	goj
赘	goj
赘	gok
珠	gtk
瓒	gto
耔	gvd
瑑	gxa
震	hag
斋	hai
颤	haj
状	hak
瘃	hak
主	hdd
症	hfd
瘈	hga
麈	hhd
疰	hhd
霅	hhi
瘴	hhr
装	hhw
痃	hhx
咨	hii
卒	hjf
准	hjh
疹	hjq
座	hju
癥	hko
癥	hkt
恣	hlk
粢	hmk
遮	hnn
这	hnn
资	hoj
资	hok
䗪	hok
衷	how
彰	hqe
章	hrf
姿	hss
妆	hss
痄	htd
旐	htm
族	htt
旃	htw
痔	huf
庤	huf
痣	hul
壮	huu
庄	huu
瘵	hvg
鄣	hvv
鹧	hwd
鹯	hwd
瘵	hwg
站	hyi
咗	iaf
跖	iai
啄	iak
嘱	ibr
喳	icr
蹅	icr
喋	ifc
吱	ifl
啫	ifr
嘲	ifv
啧	igo
蹢	ihf
嗻	ihm
噪	iic
躁	iic
唑	iju
哳	ikq
噂	imf
只	imm
踯	imv
踪	ing
咤	int
咀	iod
躅	iow
踬	iqo
咱	ird
嘬	irf
踶	irf
唣	irs
啭	isg
咂	iso
咥	isu
吒	itc
咋	itd
踵	itd
躜	ito
跱	iuf
踭	iwb
啁	iwu
咒	iww
趾	iyd
足	iyk
呲	iyw
嘴	iyw
佐	jaf
仗	jak
僎	jbf
做	jdd
偡	jfm
值	jfo
做	jft
传	jgk
债	jgo
隹	jhd
住	jhd
僮	jho
众	jjj
掌	jkk
僔	jmf
伫	jnd
倧	jng
俎	jod
畲	jod
闸	joi
仲	joi
侧	jou
侄	jsu
作	jtd
倕	jtd
侏	jtk
坐	juu
仔	jvd
㑇	jwb
偬	jwl
仉	jww
侦	jyj
侦	jyo
倬	jyr
振	kag
撰	kbf
搌	kbf
扎	kcc
揸	kcr
征	kfd
衠	kfg
揕	kfm
挝	kfn
揍	kgg
拄	khd
摘	khf
摭	khm
擿	khn
撞	kho
哲	kii
捉	kiy
挚	kkk
择	klg
擢	klj
摺	klr
撙	kmf
掷	kmv
招	kni
挓	knt
拽	koe
蜇	kok
蛰	kok
贽	kok
徵	kot
折	kqi
抓	kqk
撮	krf
晢	krr
找	ksk
拃	ktd
攒	kto
攥	kto
攥	ktx
拯	kvd
拙	kvi
挣	kwb
扺	kwc
鸷	kwd
执	kwk
指	kwr
絷	kxp
拶	kxw
招	kzi
冢	lak
诼	lak
肇	lbi
证	lfd
诹	lfl
禛	lfm
褚	lfr
诸	lfr
谪	lhf
谘	lhi
谆	lhv
识	lim
祝	liw
翟	ljh
诊	ljq
袗	ljq
之	lkk
叕	lll
褶	llr
禚	lmm
诏	lni
祖	lod
诅	lod
蚤	lok
禔	lrf
谮	lsr
诈	ltd
祚	ltd
诛	ltk
诌	lwb
诤	lwb
鸩	lwd
谵	lwh
祗	lwk
谵	lwm
祉	lyd
祯	lyj
祯	lyo
诏	lzi
豸	mee
繇	mex
尊	mfk
糟	mfr
炷	mhd
燥	mic
州	mii
炽	mim
兆	mkk
总	mlk
䎖	mll
粽	mng
兆	mnk
遵	mnn
着	mod
烛	mok
曾	mrr
甑	msk
炸	mtd
灶	muu
籽	mvd
孳	mvd
郑	mvv
鄫	mvv
灼	mwk
鲝	mwo
繇	mwp
糌	mwr
孳	mxv
兹	mxx
粘	myi
焯	myr
兆	mzk
寨	ncc
怔	nfd
忮	nfl
宗	ngp
宰	nhf
召	nii
憕	nld
忪	nml
灾	nmm
憎	nmr
惴	noa
宙	nod
窀	nsc
忳	nsc
寁	nsk
窒	nsu
宅	ntc
窄	ntd
怍	ntd
慥	ntn
字	nvd
赈	oag
颛	oaj
瞩	obr
眨	oel
嵁	ofm
置	ofo
帻	ogo
蛀	ohd
崒	ohj
蟅	ohm
幢	oho
蟑	ohr
嶂	ohr
幛	ohr
赃	ohu
中	oii
曱	oii
帜	oim
畛	ojq
忠	olk
嶟	omf
赚	omk
赠	omr
罾	omr
嶒	omr
嵫	omx
贮	ond
助	onn
盅	ood
岨	ood
崽	ool
蠋	oow
贼	osa
崭	osq
蛭	osu
蚱	otd
岞	otd
蜘	oti
账	otk
帐	otk
蛛	otk
帙	otk
峙	ouf
畤	ouf
则	ouu
虸	ovd
胄	ovv
睁	owb
峥	owb
瞻	owh
嶦	owh
瞻	owm
赒	owu
罪	oyd
罩	oyf
帧	oyj
帧	oyo
罩	oyr
眦	oyw
助	ozz
爪	qkk
舟	qkk
舳	qod
舯	qoi
质	qoj
质	qok
舴	qtd
鸼	qwd
卮	qxx
虒	qyw
昃	raj
齄	rcr
自	rdd
早	rff
最	rfl
暲	rhr
昣	rjq
照	rmm
曌	rnf
昭	rni
追	rnn
皂	rss
晊	rsu
昨	rtd
晫	ryf
齇	ryo
晫	ryr
昭	rzi
辗	sbf
轧	scc
屯	scc
至	sdd
辄	sfc
转	sgk
臻	sgt
嫜	shr
辙	sht
轵	sim
轸	sjq
轴	sod
妯	sod
匝	soi
斩	sqi
辀	sqk
媞	srf
暂	srr
轾	ssu
致	stk
至	suu
郅	svv
姊	swe
婤	swu
辎	sxo
錾	syy
箴	tad
重	tdd
乍	tdd
稹	tfm
稙	tfo
箸	tfr
筑	tfw
竺	tgg
箦	tgo
穜	tho
知	tii
稚	tjh
雉	tjh
长	tkk
朱	tkk
籀	tkw
怎	tlk
矰	tmr
造	tnn
迮	tnn
纂	toa
租	tod
种	toi
赞	toj
赞	tok
笊	tqk
智	trr
簪	tsr
笮	ttd
秩	ttk
簉	ttn
竹	ttt
制	tuu
劄	tuu
邾	tvv
酂	tvv
筝	twb
秭	twe
笫	twe
篆	txa
纂	txp
毡	tyi
埴	ufd
赭	ufr
趑	uhw
志	ulk
黹	umk
赵	umm
增	umr
凿	umv
圳	uri
圫	utc
趱	uto
喆	uui
址	uyd
走	uyk
奘	vak
子	vdd
肘	vfk
肢	vfl
陬	vfl
障	vhr
脏	vhu
胗	vjq
朕	vmg
炙	vmm
烝	vmm
腙	vng
膣	vns
阻	vod
肿	voi
肫	vsc
阵	vsi
阼	vtd
胙	vtd
胀	vtk
孜	vtk
孜	vtm
坠	vuu
孖	vvd
胝	vwk
脂	vwr
骘	vxd
陟	vyp
馔	wbf
争	wbi
杂	wcc
橥	wcc
氏	wcc
猹	wcr
鲰	wfl
猪	wfr
鲭	wgv
詹	whi
鳣	who
鳣	whr
獐	whr
鳟	wmf
詹	wmh
炙	wmm
觯	wmo
皱	wnl
螽	woo
鲗	wou
旨	wrr
昝	wrr
鲊	wtd
周	wui
邹	wvv
狰	wwb
鲻	wxo
飐	wyi
皱	wzl
纼	xbi
纣	xfk
缜	xfm
骤	xfr
驻	xhd
缲	xic
织	xim
骓	xjh
纵	xjj
缀	xll
缯	xmr
纻	xnd
绽	xnf
综	xng
组	xod
甾	xod
驵	xod
缒	xrn
缴	xrt
彘	xst
缵	xto
驺	xwb
绉	xwb
纸	xwc
终	xwn
缁	xxo
砦	yai
桌	ycc
止	ydd
钲	yfd
针	yff
卓	yff
镇	yfm
锗	yfr
铸	ygf
訾	yhi
镞	yht
锃	yig
占	yii
锥	yjh
贞	yjj
贞	ykk
镃	ymx
钟	yoi
贞	yoj
赀	yoj
贞	yok
赀	yok
铡	you
镯	yow
锧	yqo
卓	yrf
战	ysk
铚	ysu
锺	ytd
铢	ytk
钊	yuu
铮	ywb
觜	yww
锱	yxo
紫	yxp
钻	yyi
龇	yyw
召	zii
碱	aad
碱	aai
砄	abk
厩	abs
礓	ado
奇	afi
殣	afo
丌	aii
礁	ajm
硷	ajn
厥	amw
碣	arw
戛	ask
歼	ati
剞	auu
劂	auu
殛	avd
矶	aww
己	bcc
疆	bdo
居	bfi
弶	bhi
弶	bhp
君	bii
局	bii
强	bio
屐	bkf
屦	bkm
弪	blf
忌	blk
建	bll
尽	bnn
届	bod
暨	brd
既	bsc
犟	bti
剧	buu
堲	buu
即	bvv
郡	bvv
橛	cam
椐	cbf
楗	cbl
栉	cev
槿	cfd
槿	cfo
槚	cfo
枅	cgi
禁	cgk
校	chk
校	chm
楫	cif
检	cjm
橘	clo
杰	cmm
榉	cng
枷	cni
枧	coc
枧	cow
桕	crd
柜	csc
楷	csr
柩	csw
桔	cui
槛	cuo
枸	cwi
桷	cwi
极	cwk
檞	cwn
机	cww
檞	cwz
椒	cyl
枷	czi
㵐	dam
津	dbi
浸	dbl
江	dfd
酒	dfd
豇	dfd
溍	dfr
漖	dft
汫	dgi
浅	dgk
浃	dhk
济	dhr
涓	div
涧	djr
泾	dlf
滘	dlf
滘	dli
浚	dlm
浚	dlw
湔	dmv
泇	dni
瀱	doa
沮	dod
溅	dog
洎	drd
激	drt
浇	dsa
渐	dsq
湫	dtm
洁	dui
漈	dwg
泃	dwi
汲	dwk
洚	dws
澽	dya
泇	dzi
䓫	eaf
蕨	eam
荐	eav
葭	ebb
莙	ebi
荩	ebn
茳	edf
芰	efl
藉	egf
菁	egv
警	ehi
荚	ehk
茭	ehk
茭	ehm
荠	ehr
蒺	eht
蒋	ehw
蕺	eif
莒	eii
蕉	ejm
莶	ejn
芥	ejr
茎	elf
蒹	emk
茄	eni
菅	eno
苋	eoc
苴	eod
茧	eok
菌	eot
苋	eow
系	epk
苣	esc
敬	etk
敬	etm
荆	euu
节	evv
芨	ewk
菊	ewm
蓟	ewu
艽	eww
系	exp
茄	ezi
碁	fai
嘏	fbb
鞯	fea
兢	ffi
棘	ffk
酵	ffv
兢	ffw
革	fii
截	fjh
醮	fjm
柬	fkk
惎	flk
觐	foc
堇	fod
革	foi
贾	foj
赍	foj
赍	fok
觐	fow
靳	fqi
聚	frk
晋	frr
戟	fsk
戬	fsk
教	ftk
救	ftk
鬏	ftm
髻	fui
基	fuu
墼	fuu
期	fvv
鄄	fvv
鞫	fwh
鞠	fwm
醵	fya
琚	gbf
珺	gbi
珒	gbi
璥	get
瑾	gfd
瑾	gfo
瑨	gfr
珏	ggk
琎	ggn
耩	ggo
耤	ggr
井	gii
玪	gjc
戋	gkk
恝	glk
斠	gnf
珈	gni
进	gnn
靓	goc
靓	gow
璟	grh
璬	grt
㛃	gss
击	gvv
静	gwb
玖	gwk
玑	gww
絜	gxp
珈	gzi
减	had
颊	haj
就	hak
奖	hak
瘕	hbb
决	hbk
桨	hcc
浆	hdd
酱	hfd
靖	hgv
麖	hhi
麖	hhp
霁	hhr
瘠	hhv
京	hip
竞	hiw
疥	hjr
夹	hkk
痉	hlf
竣	hlw
交	hmm
痂	hni
迹	hnn
疽	hod
京	hpk
竭	hrw
疾	htk
麇	htk
旌	htt
剂	huu
郊	hvv
脊	hvv
疖	hvv
郏	hvv
净	hwb
竫	hwb
鹫	hwd
鹡	hwd
将	hwf
疚	hwk
竟	hww
麂	hww
齑	hyd
齑	hyi
痂	hzi
噘	iam
蹶	iam
踞	ibf
踺	ibl
跽	ibl
唧	ibv
噤	icg
戢	ifk
趼	igi
践	igk
蹴	iha
跤	ihk
跻	ihr
哜	ihr
蹐	ihv
噍	ijm
嚼	imb
嗟	imf
嚼	imo
斝	inf
跏	ini
咀	iod
踽	irk
旧	irr
距	isc
喈	isr
啾	itm
咭	iui
叫	ivv
鹃	iwd
叽	iww
噱	iya
跏	izi
假	jbb
倨	jbf
健	jbl
倔	jbv
今	jcc
集	jcc
僵	jdo
儆	jet
伎	jfl
借	jfr
僦	jha
佼	jhk
介	jii
价	jji
僬	jjm
俭	jjn
价	jjr
今	jll
仅	jll
俊	jlm
俊	jlw
焦	jmm
倦	jmx
傢	jna
伽	jni
隽	jnn
俱	jom
间	jrr
介	jrr
偈	jrw
侥	jsa
僭	jsr
件	jti
牮	jti
佶	jui
佳	juu
剑	juu
阄	jwc
鹪	jwd
伋	jwk
阄	jwo
伽	jzi
隽	jzz
掎	kaf
徛	kaf
撅	kam
据	kbf
捃	kbi
抉	kbk
掘	kbv
技	kfl
挟	khk
挤	khr
接	khs
捐	kiv
捡	kjn
径	klf
搛	kmk
搅	kno
攫	koj
徼	krt
揭	krw
拒	ksc
捷	ksk
拣	ksk
揪	ktm
挢	ktr
街	kug
拮	kui
拘	kwi
掬	kwm
颈	laj
记	lbc
裾	lbf
诀	lbk
艰	lbk
祲	lbl
襟	lcg
谨	lfd
计	lff
谏	lfk
谨	lfo
讲	lgi
讦	lgi
褯	lho
矜	ljc
衿	ljc
裥	ljr
谲	llo
谫	lmn
谫	lmz
皲	lnl
劲	lnn
迳	lnn
扃	loi
谡	lom
谡	low
诫	lsa
讵	lsc
军	lsi
诘	lui
刭	luu
肩	lvv
鸡	lwd
讥	lww
皲	lzl
劲	lzz
爵	mbf
焗	mbi
糨	mbi
烬	mbn
桊	mck
粳	mfk
精	mgv
兼	mkk
翦	mll
焌	mlm
爝	mmb
煎	mmm
爝	mmo
剪	mnn
爵	mob
眷	mod
炯	moi
蠲	mow
羯	mrw
炬	msc
兼	msk
姜	mss
鹣	mwd
卷	mxx
剪	mzz
寄	naf
家	nak
窘	nbi
架	ncc
举	ngi
謇	nhi
袈	nhk
惊	nhp
袈	nhw
加	nii
蹇	niy
窭	nms
迦	nnn
觉	noc
惧	nom
觉	now
憬	nrh
窖	nti
悸	ntv
究	nww
驾	nxd
寂	nyl
畸	oaf
崌	obf
赆	obn
崛	obv
见	occ
囧	odd
且	odd
羁	ofx
贱	ogk
睛	ogv
㠇	oha
黥	ohi
蛟	ohk
蛱	ohk
峧	ohk
蛟	ohm
峧	ohm
黥	ohp
嵴	ohv
甲	oii
巾	oii
雎	ojh
瞿	ojh
矍	ojl
睑	ojn
界	ojr
蚧	ojr
骱	ojr
峻	olm
畯	olm
峻	olw
囧	omd
冏	omi
具	omm
囧	omm
囧	omo
圈	omx
迥	onn
觊	ooc
岬	ooi
觊	oow
岠	osc
睫	osk
峤	otr
蜐	oun
蜐	ouz
囝	ovd
䴗	owd
岌	owk
虮	owl
尖	pak
斤	qii
近	qnn
舰	qoc
舰	qow
臼	rdd
鼱	rgv
景	rhi
皎	rhk
皎	rhm
景	rhp
晙	rlm
皭	rmb
炅	rmm
皭	rmo
舅	ron
舅	roz
晶	rrr
皦	rrt
敫	rtk
敫	rtm
戒	sai
巨	scc
姬	sfc
娵	sfl
妓	sfx
奸	sgi
婧	sgv
姣	shk
姣	shm
嫉	sht
较	shy
辑	sif
车	sii
娟	siv
妗	sji
嫁	sna
姐	sod
匠	sqw
皆	srd
婕	ssk
娇	stl
轿	str
姞	sui
犄	taf
嵇	tao
稽	taw
犍	tbl
毽	tbl
榘	tcx
箕	tfm
籍	tgf
笄	tgi
笺	tgk
筥	tii
积	tir
简	tjr
箭	tmv
稼	tna
笳	tni
笕	toc
稷	tom
犋	tom
稷	tow
笕	tow
矩	tsc
秬	tsc
矫	ttr
秸	tui
筠	tuw
季	tvd
穄	tvg
筋	tvn
筋	tvz
穄	twg
笈	twk
篯	tyg
笳	tzi
颉	uaj
境	uhw
吉	uii
嘉	uni
劫	unn
劼	unn
监	uod
趄	uod
坰	uoi
垍	urd
坚	uuu
赳	uvv
均	uwh
圾	uwk
紧	uxp
鉴	uyy
嘉	uzi
劫	uzz
劼	uzz
腒	vbf
腱	vbl
孑	vdd
亟	vdd
肼	vgi
阱	vgi
际	vgk
际	vgp
祭	vgp
腈	vgv
胶	vhk
阶	vjr
孓	vkk
胫	vlf
腳	vmv
胛	voi
岊	voi
䐃	vot
脚	vuv
降	vws
肌	vww
卺	vxx
獗	wam
鱾	wbc
鲪	wbi
觖	wbk
急	wbl
鲫	wbv
桀	wcc
馑	wfo
饯	wgk
祭	wgp
猄	whi
饺	whk
狡	whk
鲛	whk
饺	whm
狡	whm
鲛	whm
猄	whp
鲸	whp
鲚	whr
獍	whw
鳉	whw
咎	wii
狷	wiv
及	wkk
久	wkk
急	wlk
灸	wmm
解	wnt
龟	woc
狙	wod
玃	woj
飓	wom
系	wpk
鲒	wui
鲣	wuu
鸠	wwd
鸲	wwd
角	wwi
几	www
九	www
饥	www
解	wzt
缄	xad
骑	xaf
纪	xbc
缰	xdo
缙	xfr
绩	xgo
绞	xhk
绞	xhm
缉	xif
绢	xiv
给	xji
经	xlf
骏	xlm
骏	xlw
继	xmc
缣	xmk
畿	xod
䌹	xoi
缴	xrt
骄	xtr
结	xui
剿	xuu
纠	xvv
驹	xwi
级	xwk
绛	xws
绝	xwv
骥	xyo
镢	yam
锯	ybf
锔	ybi
键	ybl
乩	ycc
韭	ydd
铰	yhk
铗	yhk
铰	yhm
镜	yhr
镌	yjn
锏	yjr
镌	yjz
锩	ymx
镓	yna
遽	ynn
龃	yod
冀	yof
钾	yoi
锦	yro
钜	ysc
钧	ywh
金	yyy
架	zcc
袈	zhk
袈	zhw
加	zii
迦	znn
驾	zxd
夸	ads
磡	afn
磡	afz
夸	agc
矿	ahe
硿	anf
盔	aod
夼	ari
磕	auo
奎	auu
刳	auu
砍	awj
砍	awk
恳	blk
垦	buu
尻	bww
枯	cfi
柯	cfi
栲	cfs
棵	cok
櫆	crn
框	csg
楷	csr
栝	cti
槛	cuo
洘	dfs
漷	dhv
浍	djg
溃	doo
渴	drw
洭	dsg
溘	duo
苦	efi
苛	efi
葵	elg
蔻	eng
蒉	eoo
蒈	esr
蒯	euu
莰	euw
芤	evc
髡	fac
可	fii
克	fiw
恐	flk
勘	fnn
聩	foo
醌	frs
戡	fsk
考	fss
酷	fti
剋	fuu
勘	fzz
亏	gcc
聱	gfd
珂	gfi
开	gii
螯	gok
琨	grs
刊	guu
骜	gxd
颏	haj
康	hbk
疴	hfi
廒	hgt
廓	hhv
况	hiw
库	hsi
刻	huu
堃	huu
邝	hvv
亢	hww
跨	iad
跨	iag
哭	iak
喹	iau
呵	ifi
咳	ihk
吭	ihw
口	iii
哙	ijg
咖	ini
喀	inw
喟	iov
哐	isg
嗑	iuo
跬	iuu
叩	ivv
咯	iwi
咔	iyj
咔	iyk
啃	iyv
咖	izi
侉	jad
侉	jag
龛	jak
阚	jbt
阔	jdt
会	jgl
伉	jhw
闶	jhw
侃	jir
侩	jjg
倥	jnf
阃	joc
傀	jrk
傀	jrl
郐	jvv
佧	jyj
佧	jyk
