一	hh
杂	xm
权	ma
杆	mt
杈	ma
杉	mj
杌	mw
李	mz
杏	mo
材	mx
村	mx
杓	mh
杖	mx
杜	my
杞	ml
束	mo
杠	mi
条	am
来	hx
杨	mn
杩	ms
杪	mw
杭	mi
杯	mt
杰	dm
杲	bm
杳	mb
杵	mv
杷	ml
杼	mz
松	mg
板	mj
极	ma
构	mh
枇	ml
枉	mg
枋	mi
析	mj
枕	mn
林	mm
枘	mn
枚	am
果	bm
枝	mx
枞	mv
枢	mc
枣	md
枥	mj
枧	mn
枨	mk
枪	mv
枫	mw
枭	sm
枯	mx
枰	mt
枳	mo
枵	mo
架	xm
枷	mx
枸	mh
柁	mn
柃	mv
柄	mh
柏	mb
某	bm
柑	mb
柒	dm
染	dm
柔	rm
柘	mp
柙	mq
柚	mq
柜	mc
柝	mj
柞	mv
柠	mn
柢	mc
查	mb
柩	mc
柬	mq
柯	mt
柰	mt
柱	md
柳	mc
柴	ym
柽	ma
柿	mi
栀	mj
栅	mn
标	mt
栈	ma
栉	mh
栊	mx
栋	ml
栌	ml
栎	mc
栏	mg
树	ma
栓	mv
栖	mq
栗	qm
栝	mt
校	mi
栩	me
株	mj
栲	mj
栳	mj
样	mg
核	mi
根	mr
格	ma
栽	xm
栾	im
桀	dm
桁	mv
桂	my
桃	mx
桄	mw
桅	mh
框	mc
案	nm
桉	mn
桊	gm
桌	lm
桎	mu
桐	mn
桑	am
桓	mg
桔	my
桕	mu
桠	mh
桡	ma
桢	ml
档	mw
桤	me
桥	mj
桦	mv
桧	mv
桨	km
桩	mj
桫	md
桴	mj
桶	mz
桷	mh
梁	dm
梃	mt
梅	mv
梆	mf
梏	mf
梓	mi
梗	mh
梢	mw
梦	md
梧	me
梨	um
梭	mu
梯	mg
械	ma
梳	mi
梵	mw
检	mv
棂	me
棉	mb
棋	mb
棍	mb
棒	mg
棕	mn
棘	mm
棚	mn
棠	wm
棣	me
森	mm
棰	mt
棱	my
棵	mb
棹	ml
棺	mn
棼	mg
椁	mi
椅	mr
椋	mi
植	mx
椎	mv
椐	mp
椒	my
椟	mx
椠	lm
椤	mq
椭	mp
椰	mp
椴	mj
椹	mb
椽	mo
椿	mg
楂	mm
楔	mf
楗	me
楚	mn
楝	mm
楞	mq
楠	mx
楣	mp
楦	mn
楫	mo
楮	mj
楱	mg
楷	ml
楸	mu
楹	mh
楼	mx
榀	mo
概	mr
榄	mg
榆	mv
榇	mi
榈	mn
榉	mw
榍	mp
榔	md
榕	mn
榘	vm
榛	mg
榜	mi
榧	mc
榨	mn
榫	mv
榭	mr
榱	mi
榴	mc
榷	mn
榻	mb
槁	mi
槊	km
槌	mb
槎	mg
槐	mb
槔	mq
槛	mg
槟	mn
槠	mi
槭	mj
槲	mh
槽	mq
槿	mh
樊	mr
樗	mt
樘	mw
樟	mi
模	mh
樨	mp
横	mh
樯	my
樱	mr
樵	mv
樽	mg
樾	my
橄	mn
橇	ml
橐	hm
橘	mr
橙	mx
橛	mj
橡	mh
橥	sm
橱	mj
橹	mu
橼	mw
檀	mi
檄	mb
檎	mv
檐	mh
檑	mt
檗	pm
檠	hm
檩	mi
檫	mn
檬	mh
欠	hv
次	dh
欢	ah
欣	jh
欤	hh
欧	ch
欲	gh
欷	xh
欹	rh
欺	bh
款	yh
歃	th
歆	ih
歇	bh
歉	kh
歌	th
歙	vh
止	yh
正	eh
此	yl
步	yg
武	hy
歧	yx
歪	ti
歹	td
死	tl
歼	tt
殁	tw
殂	tb
殃	tn
殄	tv
殆	tu
殇	tv
殉	th
殊	tj
残	ta
殍	tj
殒	to
殓	tv
殖	tx
殚	tg
殛	tw
殡	tn
殪	ty
殳	wa
殴	cw
段	jw
殷	jw
殿	pw
毁	uw
毂	xw
毅	iw
毋	qj
母	qd
每	vq
毒	yq
毓	vi
比	ll
毕	lx
毖	wl
毗	ql
毙	lt
毛	ll
毡	ll
毪	lu
毫	il
毯	lr
毳	ll
毵	ul
毹	vl
毽	le
氅	wl
氆	lk
氇	lu
氍	bl
氏	ca
氐	ca
民	la
氓	il
气	kn
氕	kj
氖	kh
氘	kg
氙	ke
氚	kg
氛	kg
氟	kw
氡	ka
氢	kz
氤	kq
氦	ki
氧	kg
氨	kn
氩	kh
氪	kx
氮	kr
氯	ke
氰	ky
氲	kb
水	xd
氵	dh
永	dn
氽	vx
汀	dt
汁	dx
求	xx
汆	vx
汇	cd
汉	da
汊	da
汐	dd
汔	dv
汕	de
汗	dt
汛	dn
汜	dl
汝	da
汞	ix
江	di
池	dl
污	dg
汤	dn
汨	db
汩	db
汪	dg
汰	dr
汲	da
汴	dd
汶	di
汹	dx
汽	dk
汾	dg
沁	dw
沂	dj
沃	dj
沅	dh
沆	di
沈	dn
沉	dn
沌	dl
沏	dl
沐	dm
沓	xb
沔	dt
沙	dw
沛	dh
沟	dh
没	dw
沣	df
沤	dc
沥	dj
沦	dv
沧	dv
沩	dd
沪	dp
沫	dm
沭	dm
沮	db
沱	dn
沲	dv
河	dt
沸	dw
油	dq
治	du
沼	dh
沽	dx
沾	dl
沿	dw
泄	dh
泅	dq
泉	bx
泊	db
泌	dw
泐	dp
泓	dw
泔	db
法	dy
泖	dc
泗	dq
泛	dj
泞	dn
泠	dv
泡	dh
波	da
泣	di
泥	dp
注	dd
泪	db
泫	di
泮	dg
泯	dl
泰	gx
泱	dn
泳	dd
泵	px
泶	wx
泷	dx
泸	dl
泺	dc
泻	dn
泼	dl
泽	da
泾	dz
洁	dy
洄	dq
洇	dq
洋	dg
洌	dt
洎	db
洒	dq
洗	df
洙	dj
洚	da
洛	da
洞	dn
津	de
洧	dx
洪	dh
洫	dj
洮	dx
洱	dp
洲	dd
洳	da
洵	dh
洹	dg
活	dt
洼	dy
洽	dv
派	dj
流	di
浃	dr
浅	da
浆	kx
浇	da
浈	dl
浊	dc
测	dr
浍	dv
济	di
浏	di
浑	dn
浒	di
浓	dn
浔	de
浙	df
浚	du
浜	do
浞	do
浠	dx
浣	dn
浦	df
浩	df
浪	dd
浮	dj
浯	de
浴	dg
海	dv
浸	de
浼	dh
涂	dv
涅	db
消	dw
涉	dy
涌	dz
涎	de
涑	dm
涓	do
涔	de
涕	dg
涛	df
涝	dh
涞	dh
涟	dl
涠	dq
涡	do
涣	dh
涤	da
润	dn
涧	dn
涨	dw
涩	dh
涪	di
涫	dn
涮	dp
涯	dj
液	di
涵	dw
涸	dq
涿	ds
淀	dn
淄	dl
淅	dm
淆	dx
淇	db
淋	dm
淌	dw
淑	dy
淖	dl
淘	dh
淙	dn
淝	dn
淞	dm
淠	dq
淡	dr
淤	di
淦	dz
淫	dj
淬	di
淮	dv
深	dn
淳	di
混	db
淹	dr
添	dh
淼	xx
清	dy
渊	dg
渌	de
渍	dy
渎	dx
渐	dl
渑	do
渔	du
渖	dn
渗	du
渚	dj
渝	dv
渠	dm
渡	dj
渣	dm
渤	dx
渥	dp
温	db
渫	dh
渭	dq
港	dh
渲	dn
渴	db
游	di
渺	db
湃	df
湄	dp
湍	de
湎	dt
湓	dg
湔	dk
湖	dx
湘	dm
湛	db
湟	db
湫	du
湮	dq
湾	di
湿	db
溃	df
溅	dr
溆	dv
溉	dr
溏	dj
源	dj
溘	dy
溜	dc
溟	dn
溢	dk
溥	dx
溧	dq
溪	dj
溯	dk
溱	dg
溲	du
溴	db
溶	dn
溷	dq
溺	dw
溻	db
溽	dj
滁	dp
滂	di
滇	dx
滋	dk
滏	dg
滑	dr
滓	dn
滔	dj
滕	ng
滗	dk
滚	di
滞	dh
滟	df
滠	dp
满	dh
滢	dh
滤	dj
滥	dg
滦	di
滨	dn
滩	da
滴	di
滹	dj
漂	dq
漆	dm
漉	dj
漏	dp
漓	di
演	dn
漕	dq
漠	dh
漤	dm
漩	di
漪	ds
漫	db
漭	dh
漯	dq
漱	dm
漳	di
漶	df
漾	dg
潆	dh
潇	dh
潋	dv
潍	dw
潘	du
潜	dr
潞	de
潢	dh
潦	dr
潭	dq
潮	dx
潲	du
潴	ds
潸	dm
潺	dp
潼	di
澄	dx
澈	di
澉	dn
澌	db
澍	dy
澎	dy
澜	dn
澡	do
澧	dq
澳	dj
澶	di
澹	dh
激	db
濂	dj
濉	db
濑	dm
濒	dy
濞	db
濠	di
濡	dt
濮	dv
濯	de
瀑	db
瀚	dx
瀛	di
瀣	dl
瀵	dx
瀹	dv
灌	dh
灏	db
灞	dt
火	rd
灬	dd
灭	hr
灯	rt
灰	xr
灵	er
灶	ry
灸	hr
灼	rh
灾	nr
灿	re
炀	rn
炅	br
炉	rp
炊	rh
炎	rr
炒	rw
炔	rz
炕	ri
炖	rl
炙	dr
炜	rf
炝	rv
炫	ri
炬	rc
炭	ex
炮	rh
炯	rn
炱	ur
炳	rh
炷	rd
炸	rv
点	dl
炻	rp
炼	rl
炽	ro
烀	rt
烁	rc
烂	rg
烃	rz
烈	dt
烊	rg
烘	rh
烙	ra
烛	rc
烟	rq
烤	rj
烦	rt
烧	ra
烨	rv
烩	rv
烫	dr
烬	rp
热	df
烯	rx
烷	rn
烹	di
烽	ra
焉	eh
焊	rb
焐	re
焓	rv
焕	rh
焖	rn
焘	df
焙	ri
焚	mr
焦	dv
焯	rl
焰	rh
焱	rr
然	dd
煅	rj
煊	rn
煌	rb
煎	dk
煜	rb
煞	dh
煤	rb
煦	db
照	db
煨	rq
煮	dj
煲	vr
煳	rx
煸	rp
煺	rr
煽	rp
熄	rb
熊	du
熏	dt
熔	rn
熘	rc
熙	dc
熟	di
熠	re
熨	pr
熬	dy
熳	rb
熵	ri
熹	dy
燃	rd
燎	rr
燔	ru
燕	dh
燠	rj
燥	ro
燧	rk
燮	ra
燹	sr
爆	rb
爝	rj
爨	um
爪	ji
爬	jl
爰	jh
爱	jx
爵	jr
父	gx
爷	pg
爸	gl
爹	gd
爻	xx
爽	rx
爿	kj
片	kn
版	kj
牌	kb
牍	kx
牒	kh
牖	kd
牙	rj
牛	fi
牝	fl
牟	uf
牡	fy
牢	nf
牦	fl
牧	af
物	fh
牮	vf
牯	fx
牲	fj
牵	rn
特	fy
牺	fq
牾	fe
牿	ff
犀	pf
犁	uf
犄	fr
犊	fx
犋	fb
犍	fe
犏	fp
犒	fi
犟	wf
犬	rd
犭	sj
犯	sl
犰	sx
犴	st
状	kr
犷	sj
犸	ss
犹	sx
狁	su
狂	sg
狃	sn
狄	sr
狈	sr
狍	sh
狎	sq
狐	sj
狒	sw
狗	sh
狙	sb
狞	sn
狠	sr
狡	si
狨	sa
狩	sn
独	sc
狭	sr
狮	sg
狯	sv
狰	sh
狱	si
狲	sz
狳	sv
狴	sl
狷	so
狸	sb
狺	si
狻	su
狼	sd
猁	su
猃	sv
猊	su
猎	sh
猓	sb
猕	sw
猖	sb
猗	sr
猛	sz
猜	sy
猝	si
猞	sv
猡	sq
猢	sx
猥	sq
猩	sb
猪	sj
猫	sh
猬	sq
献	xr
猱	sr
猴	sv
猷	gr
猸	sp
猹	sm
猾	sr
猿	sy
獍	si
獐	si
獒	yr
獗	sj
獠	sr
獬	sh
獭	sm
獯	st
獾	sh
玄	iw
率	ix
玉	gd
王	gh
玎	gt
玑	gw
玖	gh
玛	gs
玟	gi
玢	gg
玩	gh
玫	ag
玮	gf
环	gt
现	gn
玲	gv
玳	gv
玷	gl
玺	hg
玻	ga
珀	gb
珂	gt
珈	gx
珉	gl
珊	gn
珍	gv
珏	gg
珐	gy
珑	gx
珙	gh
珞	ga
珠	gj
珥	gp
珧	gx
珩	gv
班	gd
珲	gn
球	gx
琅	gd
理	gb
琉	gi
琊	gr
琏	gl
琐	gw
琚	gp
琛	gn
琢	gs
琥	gj
琦	gr
琨	gb
琪	gb
琬	gn
琮	gn
琰	gr
琳	gm
琴	gv
琵	gl
琶	gl
琼	gi
瑁	gn
瑕	gz
瑗	gj
瑙	gl
瑚	gx
瑛	gh
瑜	gv
瑞	ge
瑟	wg
瑭	gj
瑰	gb
瑶	gj
瑷	gj
瑾	gh
璀	ge
璁	gj
璃	gi
璇	gi
璋	gi
璎	gr
璐	ge
璜	gh
璞	gx
璧	pg
璨	gl
璩	gj
璺	ug
瓒	gf
瓜	ju
瓞	jj
瓠	rj
瓢	qj
瓣	ij
瓤	ij
瓦	ad
瓮	ga
瓯	ca
瓴	va
瓶	ka
瓷	da
瓿	ia
甄	qa
甍	ha
甏	ya
甑	ga
甓	pa
甘	bh
甙	ab
甚	bl
甜	tb
生	jy
甥	jq
用	nf
甩	nl
甫	fd
甬	zn
甭	tn
甯	nn
田	qh
由	qh
甲	qi
申	bi
电	bl
男	qx
甸	hq
町	qt
画	hq
甾	lq
畀	qh
畅	bn
畈	qj
畋	aq
界	qv
畎	qr
畏	qc
畔	qg
留	cq
畚	uq
畛	qv
畜	iq
略	qa
畦	qy
番	uq
畲	vq
畴	qf
畸	qr
畹	qn
畿	wa
疃	qi
疆	wh
疋	nv
疏	ni
疑	lz
疒	jh
疔	jt
疖	pj
疗	jw
疙	jv
疚	jh
疝	je
疟	je
疠	jt
疡	jn
疣	jx
疤	jl
疥	jv
疫	jw
疬	jj
疮	jv
疯	jw
疰	jd
疱	jh
疲	ja
疳	jb
疴	jt
疵	jy
疸	jb
疹	jv
疼	ja
疽	jb
疾	jv
痂	jx
痃	ji
痄	jv
病	jh
症	je
痈	jn
痉	jz
痊	jv
痍	jr
痒	jg
痔	jy
痕	jr
痖	jh
痘	jh
痛	jz
痞	jt
痢	ju
痣	jy
痤	jv
痦	je
痧	jd
痨	jh
痪	jh
痫	jn
痰	jr
痱	jx
痴	jv
痹	jq
痼	jq
痿	ju
瘀	ji
瘁	ji
瘃	js
瘅	jg
瘊	jv
瘌	jm
瘐	ju
瘕	jz
瘗	jr
瘘	jx
瘙	ja
瘛	jf
瘟	jb
瘠	jx
瘢	jr
瘤	jc
瘥	jg
瘦	ju
瘩	jh
瘪	jb
瘫	ja
瘭	jq
瘰	jq
瘳	je
瘴	ji
瘵	jx
瘸	jx
瘼	jh
瘾	jp
瘿	jr
癀	jh
癃	jp
癌	jo
癍	jg
癔	ji
癖	jp
癜	jp
癞	jm
癣	ju
癫	jx
癯	jb
癸	xh
登	xh
白	bh
百	hb
皂	bl
的	bh
皆	lb
皇	bg
皈	bj
皋	br
皎	bi
皑	be
皓	bf
皖	bn
皙	mb
皤	bu
皮	ad
皱	ha
皲	na
皴	ua
皿	qh
盂	qt
盅	qf
盆	qg
盈	qh
益	qk
盍	qy
盎	qn
盏	qa
盐	qy
监	qg
盒	qv
盔	qx
盖	qg
盗	qd
盘	qr
盛	qa
盟	qb
盥	qu
目	bh
盯	bt
盱	bt
盲	ib
直	xb
相	mb
盹	bl
盼	bg
盾	jx
省	wb
眄	bt
眇	bw
眈	bn
眉	pb
看	fb
眍	bc
眙	bu
眚	jb
真	xg
眠	bl
眢	db
眦	by
眨	bj
眩	bi
眭	by
眯	bx
眵	bd
眶	bc
眷	gb
眸	bu
眺	bx
眼	br
着	gb
睁	bh
睃	bu
睇	bg
睐	bh
睑	bv
睚	bj
睛	by
睡	bt
睢	bv
督	yb
睥	bb
睦	by
睨	bu
睫	bh
睬	bj
睹	bj
睽	bx
睾	jy
睿	lg
瞀	rb
瞄	bh
瞅	bu
瞌	by
瞍	bu
瞎	bn
瞑	bn
瞒	bh
瞟	bq
瞠	bw
瞢	hb
瞥	gb
瞧	bv
瞩	bp
瞪	bx
瞬	bj
瞰	bn
瞳	bi
瞵	bx
瞻	bh
瞽	yb
瞿	bv
矍	bv
矗	xx
矛	rj
矜	rv
矢	vr
矣	uv
知	vo
矧	vw
矩	vc
矫	vj
矬	vv
短	vh
矮	vu
石	ph
矶	pw
矸	pt
矽	pd
矾	pw
矿	pj
砀	pn
码	ps
砂	pw
砉	fp
砌	pl
砍	ph
砑	pr
砒	pl
研	ph
砖	pg
砗	pl
砘	pl
砚	pn
砜	pw
砝	py
砟	pv
砣	pn
砥	pc
砦	yp
砧	pl
砩	pw
砬	pi
砭	pj
砰	pt
破	pa
砷	pb
砸	pc
砹	ph
砺	pj
砻	xp
砼	pv
砾	pc
础	pu
硅	py
硇	pj
硌	pa
硎	ph
硐	pn
硒	pq
硕	pt
硖	pr
硗	pa
硝	pw
硪	pj
硫	pi
硬	ph
硭	ph
确	ph
硷	pv
硼	pn
碇	pn
碉	pn
碌	pe
碍	pb
碎	pi
碑	pb
碓	pv
碗	pn
碘	pq
碚	pi
碛	py
碜	pu
碟	ph
碡	py
碣	pb
碥	pp
碧	gp
碰	pk
碱	pa
碲	pi
碳	pe
碴	pm
碹	pn
碾	pp
磁	pk
磅	pi
磉	pa
磊	pp
磋	pg
磐	rp
磔	pd
磕	py
磙	pi
磨	jp
磬	yp
磲	pd
磴	px
磷	px
磺	ph
礁	pv
礅	pi
礓	ph
礞	ph
礤	ph
礴	ph
示	td
礻	td
礼	tl
社	ty
祀	tl
祁	pt
祆	th
祈	tj
祉	ty
祓	tx
祖	tb
祗	tc
祚	tv
祛	ty
祜	tx
祝	to
神	tb
祟	ut
祠	tn
祢	th
祥	tg
祧	tx
票	qt
祭	xt
祯	tl
祷	tf
祸	to
祺	tb
禀	it
禁	mt
禄	te
禅	tg
禊	tf
福	th
禚	tg
禧	ty
禳	ti
禹	jc
禺	bn
离	in
禽	vi
禾	ud
秀	uh
私	uu
秃	uw
秆	ut
秉	ue
秋	ur
种	uf
科	ud
秒	uw
秕	ul
秘	uw
租	ub
秣	um
秤	ut
秦	gu
秧	un
秩	uj
秫	um
秭	uj
积	uo
称	uh
秸	uy
移	ud
秽	ue
稀	ux
稂	ud
稃	uj
稆	uo
程	uo
稍	uw
税	ug
稔	uv
稗	ub
稚	uv
稞	ub
稠	un
稣	uu
稳	uh
稷	uq
稹	ux
稻	uj
稼	un
稽	ux
稿	ui
穆	ub
穑	uy
穗	uc
穰	ui
穴	ng
究	nx
穷	nx
穸	nd
穹	nw
空	ni
穿	nr
窀	nl
突	nr
窃	nl
窄	nv
窆	nj
窈	nw
窍	ni
窑	nv
窒	nu
窕	nx
窖	nf
窗	nj
窘	ne
窜	nf
窝	no
窟	np
窠	nb
窥	nr
窦	nx
窨	ni
窬	nv
窭	nx
窳	nj
窿	np
立	ik
竖	gi
站	il
竞	io
竟	ib
章	ix
竣	iu
童	ib
竦	im
竭	ib
端	ie
竹	vv
竺	kg
竽	kt
竿	kt
笃	ks
笄	kh
笆	kl
笈	ka
笊	kj
笋	ke
笏	kh
笑	kj
笔	kl
笕	kn
笙	kj
笛	kq
笞	ku
笠	ki
笤	kh
笥	kn
符	kv
笨	km
笪	kb
笫	kj
第	kw
笮	kv
笱	kh
笳	kx
笸	kc
笺	ka
笼	kx
笾	kx
筅	kf
筇	ki
等	ky
筋	kn
筌	kv
筏	kv
筐	kc
筑	ki
筒	kn
答	kv
策	km
筘	kf
筚	kl
筛	kg
筝	kh
筠	ky
筢	kf
筮	ki
筱	kv
筲	kw
筵	ke
筷	kl
筹	kf
筻	kh
签	kv
简	kn
箅	kq
箍	kf
箐	ky
箔	kd
箕	kb
算	kb
箜	kn
箝	kf
管	kn
箢	kn
箦	ky
箧	kc
箨	kf
箩	kq
箪	kg
箫	ke
箬	kh
箭	kk
箱	km
箴	ka
箸	kj
篁	kb
篆	ko
篇	kp
篌	kv
篑	kf
篓	kx
篙	ki
篚	kc
篝	ko
篡	ku
篥	kq
篦	kj
篪	kj
篮	kg
篱	ki
篷	ka
篼	kc
篾	kq
簇	ki
簋	kr
簌	km
簏	kj
簖	kx
簟	kq
簦	kx
簧	kh
簪	kc
簸	kb
簿	kd
籀	kf
籁	km
籍	km
米	xd
籴	vx
类	xr
籼	xe
籽	xz
粉	xg
粑	xl
粒	xi
粕	xb
粗	xb
粘	xl
粜	ux
粝	xj
粞	xq
粟	qx
粢	dx
粤	jh
粥	wx
粪	xh
粮	xd
粱	dx
粲	lx
粳	xh
粹	xi
粼	xl
粽	xn
精	xy
糁	xu
糅	xr
糇	xv
糈	xn
糊	xx
糌	xa
糍	xk
糕	xg
糖	xj
糗	xb
糙	xf
糜	jx
糟	xq
糠	xj
糨	xw
糯	xt
糸	ww
系	jw
紊	iw
素	yw
索	xw
紧	gw
紫	yw
累	qw
絮	aw
絷	fw
綦	bw
綮	pw
縻	jw
繁	vw
繇	jj
纂	kw
纛	yq
纟	wh
纠	wl
纡	wt
红	wi
纣	wx
纤	wt
纥	wv
约	wh
级	wa
纨	wx
纩	wj
纪	wl
纫	wh
纬	wf
纭	wg
纯	wl
纰	wl
纱	ww
纲	wn
纳	wn
纵	wv
纶	wv
纷	wg
纸	wc
纹	wi
纺	wi
纽	wn
纾	wz
线	wa
绀	wb
绁	wh
绂	wx
练	wl
组	wb
绅	wb
细	wq
织	wo
终	wa
绉	wh
绊	wg
绋	ww
绌	wu
绍	wh
绎	wa
经	wz
绐	wu
绑	wf
绒	wa
结	wy
绔	wr
绕	wa
绗	wv
绘	wv
给	wv
绚	wh
绛	wa
络	wa
绝	wh
绞	wi
统	wi
绠	wh
绡	ww
绢	wo
绣	wu
绥	wj
绦	wa
继	wx
绨	wg
绩	wy
绪	wj
绫	wy
续	wx
绮	wr
绯	wx
绰	wl
绱	ww
绲	wb
绳	wo
维	wv
绵	wb
绶	wj
绷	wn
绸	wn
绺	wa
绻	wg
综	wn
绽	wn
绾	wn
绿	we
缀	wa
缁	wl
缂	wh
缃	wm
缄	wa
缅	wt
缆	wg
缇	wb
缈	wb
缉	wo
缋	wf
缌	wo
缍	wt
缎	wj
缏	wv
缑	wv
缒	wb
缓	wj
缔	wi
缕	wx
编	wp
缗	wl
缘	wo
缙	wh
缚	wf
缛	wj
缜	wx
缝	wa
缟	wi
缠	wj
缡	wi
缢	wk
缣	wk
缤	wn
缥	wq
缦	wb
缧	wq
缨	wr
缩	wn
缪	we
缫	wl
缬	wy
缭	wr
缮	wg
缯	wg
缰	wh
缱	wf
缲	wo
缳	wq
缴	wb
缵	wf
缶	vu
缸	vi
缺	vz
罂	rv
罄	yv
罅	vj
罐	vh
网	nx
罔	nk
罕	nt
罗	qd
罘	qt
罚	qi
罟	qx
罡	qe
罢	qy
罨	qr
罩	ql
罪	qx
置	qx
罱	qx
署	qj
罴	dq
罹	ql
罾	qg
羁	qh
羊	gt
羌	gl
美	gr
羔	dg
羚	gv
羝	gc
羞	gn
羟	gz
羡	gd
群	eg
羧	gu
羯	gb
羰	ge
羲	gu
羸	in
羹	gg
羼	pg
羽	ee
羿	eh
翁	ge
翅	xe
翊	ie
翌	ei
翎	ve
翔	ge
翕	ve
翘	ae
翟	ev
翠	ei
翡	xe
翥	je
翦	ke
翩	pe
翮	he
翰	xv
翱	be
翳	ce
翻	ue
翼	eq
耀	we
老	jl
考	jh
耄	jl
者	jb
耆	jb
耋	ju
而	tn
耍	ta
耐	tx
耒	md
耔	mz
耕	mo
耖	mw
耗	ml
耘	mg
耙	ml
耜	mb
耠	mv
耢	mh
耥	mw
耦	mb
耧	mx
耨	mj
耩	mo
耪	mi
耱	mj
耳	ph
耵	pt
耶	pp
耷	rp
耸	vp
耻	py
耽	pn
耿	pr
聂	pa
聃	pn
聆	pv
聊	pc
聋	xp
职	po
聍	pn
聒	pt
联	pk
聘	pq
聚	pj
聩	pf
聪	pg
聱	yp
聿	ef
肀	ei
肃	eg
肄	le
肆	ue
肇	pe
肉	nv
肋	nx
肌	nw
肓	in
肖	wn
肘	nx
肚	ny
肛	ni
肜	nj
肝	nt
肟	ng
肠	nn
股	nw
肢	nx
肤	nr
肥	nl
肩	pn
肪	ni
肫	nl
肭	nn
肮	ni
肯	yn
肱	nx
育	in
肴	xx
肷	nh
肺	nh
肼	no
肽	nr
肾	gn
肿	nf
胀	nk
胁	nx
胂	nb
胃	qn
胄	qn
胆	nb
背	kn
胍	nj
胎	nu
胖	ng
胗	nv
胙	nv
胚	nt
胛	nq
胜	nj
胝	nc
胞	nh
胡	xn
胤	ww
胥	nn
胧	nx
胨	nl
胩	ny
胪	nl
胫	nz
胬	an
胭	nq
胯	nr
胰	nr
胱	nw
胲	ni
胳	na
胴	nn
胶	ni
胸	nh
胺	nn
胼	nk
能	ul
脂	nl
脆	nh
脉	nd
脊	xn
脍	nv
脎	nx
脏	nj
脐	ni
脑	ni
脒	nx
脓	nn
脔	in
脖	nx
脘	nn
脚	ny
脞	nv
脬	nj
脯	nf
脱	ng
脲	np
脶	no
脸	nv
脾	nb
腆	nq
腈	ny
腊	nh
腋	ni
腌	nr
腐	jn
腑	nj
腓	nx
腔	nn
腕	nn
腙	nn
腚	nn
腠	ng
腥	nb
腧	nv
腩	nx
腭	no
腮	nq
腰	nq
腱	ne
腴	nu
腹	nv
腺	nb
腻	na
腼	nt
腽	nb
腾	ng
腿	nr
膀	ni
膂	in
膈	nh
膊	nf
膏	in
膑	nn
膘	nq
膛	nw
膜	nh
膝	nm
膣	nn
膦	nx
膨	ny
膪	ni
膳	ng
膺	jn
膻	ni
臀	pn
臁	nj
臂	pn
臃	ni
臆	ni
臊	no
臌	ny
臣	ci
臧	ac
自	bh
臬	bm
臭	br
至	yu
致	au
臻	ug
臼	uh
臾	uv
舀	ju
舁	uh
舂	gu
舄	uh
舅	uq
舆	ug
舌	to
舍	vt
舐	tc
舒	vz
舔	th
舛	dc
舜	jd
舞	vd
舟	rd
舡	ri
舢	re
舣	rd
舨	rj
航	ri
舫	ri
般	rw
舭	rl
舯	rf
舰	rn
舱	rv
舳	rq
舴	rv
舵	rn
舶	rb
舷	ri
舸	rt
船	rw
舻	rl
舾	rq
艄	rw
艇	rt
艉	rp
艋	rz
艏	rk
艘	ru
艚	rq
艟	ri
艨	rh
艮	rd
良	dr
艰	ar
色	hl
艳	fh
艴	wh
艹	hi
艺	hn
艽	hx
艾	hx
艿	hh
节	ph
芄	hx
芈	if
芊	ht
芋	ht
芍	hh
芎	hw
芏	yh
芑	hl
芒	hi
芗	hw
芘	hl
芙	hr
芜	hg
芝	hz
芟	hw
芡	hh
芤	hz
芥	hv
芦	hp
芨	ha
芩	hv
芪	hc
芫	hh
芬	hg
芭	hl
芮	hn
芯	hw
芰	hx
花	hv
芳	hi
芴	hh
芷	hy
芸	hg
芹	hj
芽	hr
芾	hh
苁	hv
苄	hd
苇	hf
苈	hj
苊	hj
苋	hn
苌	hk
苍	hv
苎	hn
苏	hx
苑	hd
苒	hn
苓	hv
苔	hu
苕	hh
苗	hq
苘	hn
苛	ht
苜	hb
苞	hh
苟	hh
苠	hl
苡	hl
苣	hc
苤	ht
若	hx
苦	hx
苫	hl
苯	hm
英	hn
苴	hb
苷	hb
苹	ht
苻	hv
茁	hu
茂	ha
范	hd
茄	hx
茅	hr
茆	hc
茇	hx
茈	hy
茉	hm
茌	hv
茎	hz
茏	hx
茑	hs
茔	yh
茕	hn
茗	hd
茚	hc
茛	hr
茜	hq
茧	hc
茨	hd
茫	hd
茬	hx
茭	hi
茯	hv
茱	hj
茳	hd
茴	hq
茵	hq
茶	hv
茸	hp
茹	ha
茺	hi
茼	hn
荀	hh
荃	hv
荆	gh
荇	hv
草	hb
荏	hv
荐	hx
荑	hr
荒	hi
荔	hx
荚	hr
荛	ha
荜	hl
荞	hj
荟	hv
荠	hi
荡	hd
荣	hm
荤	hl
荥	hx
荦	hf
荧	hr
荨	he
荩	hp
荪	hz
荫	hp
荬	hn
荭	hw
荮	hw
药	hw
荷	hv
荸	hx
荻	hs
荼	hv
荽	hj
莅	hv
莆	hf
莉	hu
莎	hd
莒	ho
莓	hv
莘	hi
莛	ht
莜	hv
莞	hn
莠	hu
莨	hd
莩	hj
莪	hj
莫	hb
莰	hy
莱	hh
莲	hl
莳	hb
莴	ho
莶	hv
获	hs
莸	hs
莹	hg
莺	hs
莼	hw
莽	hr
菀	hn
菁	hy
菅	hn
菇	ha
菊	hh
菌	hq
菏	hd
菔	hn
